id,Question,Response
733,determine extent of damage immediately .,after torpedo room report !
734,you re sure it s cyclops ?,take a look .
735,what s the running time ?,thirty four seconds !
736,right u at u him ?,that s what i said !
737,that s what i said !,but what can we accomplish ?
738,but what can we accomplish ?,we can u ram u him !
739,straight to the pole at almost fifty knots !,nothing we can do now .
740,swell !,your friend was to remain where he was !
741,he did !,i am afraid not . therefore
742,my yeoman will show you to your quarters .,thank you .
743,well i ll be !,i ll be another !
744,has anybody offered to buy it ?,as a mater of fact yes . lariviere .
745,twombley involved ?,no .
746,what are you boys up to ?,same old shit .
747,tell me .,chub says you re fired .
748,i plan to . soon .,how soon ?
749,how soon ?,this spring .
750,you heard the news .,i hear twombley got shot .
751,i hear twombley got shot .,yeah .
752,he s on to us !,shit ! what are we gonna do ?
753,you can t buy wade off .,we bought you .
754,we bought you .,that was me .
755,if you get it ?,yeah .
756,yeah .,you might not kill it .
757,you might not kill it .,you think so .
758,and you ll get your extra hundred bucks .,wonderful !
759,i used to play ball .,yeah ?
760,yeah ?,drafted by the red sox .
761,drafted by the red sox .,you played for the sox ?
762,you played for the sox ?,double a . new britain .
763,double a . new britain .,oh .
764,really .,they said .
765,they said .,hmm .
766,safety on ?,yeah .
767,yeah .,this way .
768,this way .,sun s gettin high .
769,sun s gettin high .,deers have ears too .
770,no brag . just fact .,got you for bucks ?
771,bastard s got his high beams on .,shit .
772,where d twombley get shot ?,in the chest .
773,in the chest .,no i mean whereabouts .
774,the ambulance guys lugged him up .,you stayed away ?
775,you stayed away ?,yeah .
776,yeah .,where d you get the blood ?
777,where d you get the blood ?,what blood ?
778,what blood ?,on your sleeve .
779,sure you did .,what ?
780,what ?,saw him do it ?
781,i m fucking out of here .,lawford ?
782,those are the hoyts .,i don t care . they re out .
783,why do they do that ?,do what ?
784,do what ?,you know .
785,you know .,break stuff ?
786,break stuff ?,yeah . it s stupid .
787,yeah . it s stupid .,i guess they re stupid .
788,was it funny ?,to us it was .
789,to us it was .,but it s not funny now .
790,i bet you did lots of bad things .,what are you talking about ?
791,what are you talking about ?,i just think you used to be bad .
792,it s not that .,what then ?
793,what then ?,it s stupid .
794,it s stupid .,it s fun .
795,no .,no what ?
796,i called mommy .,what ? you called mommy ? just now ?
797,what ? you called mommy ? just now ?,yes .
798,yes .,jesus why ?
799,it s pretty old .,it belongs to pop .
800,it belongs to pop .,pop ?
801,pop ?,grandpa . my father . it s his .
802,grandpa . my father . it s his .,oh .
803,no .,what do you want then ?
804,what do you want then ?,nothing .
805,okay .,fine .
806,please don t cry . please honey .,what are you sorry for ?
807,i want to go home .,you can t .
808,that s illegal you know .,i know .
809,i know .,you re a policeman .
810,jill please it s alright . nothing happened .,i want to go home .
811,i want to go home .,okay let s go home then .
812,his son in law damn near killed me .,huh ?
813,you don t want the extra police pay ?,i m not saying that .
814,what s the hurry ?,a hunting accident . jack and twombley .
815,a hunting accident . jack and twombley .,huh ?
816,huh ?,i figured you already heard .
817,something bugging you ?,yeah . a few things .
818,how you holding up wade ?,i m fine fine .
819,i saw mel gordon in here this morning .,so ?
820,i won t . you interested ?,maybe .
821,maybe .,you and mel gordon ?
822,you and mel gordon ?,could be .
823,lillian !,where s jill ?
824,yeah .,she s grown up some hasn t she ?
825,we should talk .,we ve done all our talking wade .
826,we ve done all our talking wade .,it s just . . .
827,yeah lots .,see . get your boots .
828,see . get your boots .,hi honey .
829,did you get his number ?,i know who it is .
830,i know who it is .,good . who ?
831,good . who ?,mel gordon .
832,mel gordon .,i still don t understand
833,new hat ? jill s up i see .,for a while .
834,for a while .,how s she doing ?
835,how s she doing ?,okay . she s fine .
836,see you tomorrow maybe .,you okay ?
837,you okay ?,yeah .
838,you okay ?,yeah .
839,yeah .,i m sorry about what i said .
840,i m sorry about what i said .,said what ?
841,forget it .,i m sorry .
842,you don t mean that .,yeah . i mean that .
843,call me .,tonight . let s get together .
844,tonight . let s get together .,okay .
845,money .,jack doesn t need money .
846,alright . i ll think about it .,good .
847,strange .,think they re alright ?
848,think they re alright ?,of course ! i would ve heard .
849,of course ! i would ve heard .,how ?
850,how ?,i don t know for christ s sake !
851,this is nuts .,wade .
852,there s a furnace .,you re not using it today ?
853,coffee s perked .,when did she die ?
854,it makes me sad .,can ?
855,whitehouse . next time phone ahead .,how s that ?
856,it don t look right .,what ?
857,jack ?,the other guy .
858,his office . you mean my old office .,well i guess that s what he said .
859,well i guess that s what he said .,he got his deer yet ?
860,just do it .,atta go .
861,nothing .,you no good pup !
862,sleeping .,you remember margie fogg ?
863,where s ma ?,she s coming .
864,is there something wrong with the phone ?,in the living room .
865,love ! i m made of love !,call it what you want .
866,call it what you want .,everything you know is from me .
867,everything you know is from me .,yeah .
868,yeah .,bang !
869,bang !,you and me .
870,rolfe .,wade ?
871,who ?,twombley .
872,twombley .,no shit .
873,no shit .,you think jack shot him ?
874,you think jack shot him ?,well it was an accident .
875,lillian was here . in lawford .,huh ?
876,huh ?,the night before the shooting .
877,the night before the shooting .,how was she ?
878,yeah i guess .,get some sleep .
879,anyone else want one ? rolfe ?,no thanks . i don t drink .
880,no thanks . i don t drink .,yeah . i forgot .
881,what about margie ?,what about her ?
882,what about her ?,well do you still plan to get married ?
883,which is ?,that it wasn t an accident .
884,that it wasn t an accident .,then who shot him ?
885,then who shot him ?,well your friend i think . jack hewitt .
886,well your friend i think . jack hewitt .,motive . you gotta have a motive .
887,motive . you gotta have a motive .,money .
888,well you aren t the president dear .,yeah no duh .
889,i m sure he s busy .,don t you even want to ask ?
890,alice . . .,mom just this once give it a rest .
891,some kids were teasing you ?,that s not really the point .
892,mom ?,yes dear ?
893,daddy . daddy please . . .,jim . . . for godsake !
894,he didn t leave us .,you are a resilient man mr .
895,oooooh i m good .,hey you guys back already ?
896,it was the experience of a lifetime .,how bout a hug for the old man .
897,alice !,daddy . . .
898,daddy . . .,alice . . . i . . .
899,how you doing sweetie ?,been better dad . . . you ?
900,there they are !,okay i m slowing us down .
901,do you see the maintenance panel ?,got it .
902,you read my mind .,put your pilot on .
903,put your pilot on .,he s busy being dead .
904,who s flying the fucking plane ?,i m doing what i can .
905,got it .,stay cool .
906,walter if you have a point make it .,that kid s name was jim marshall .
907,they aren t answering their hails .,this doesn t make sense .
908,it was a good ad lib sir .,thanks . wrote it last night .
909,the chief justice ? what on earth for ?,to swear you in as president .
910,special agent gibbs . you helped do this ?,yes mr . president .
911,yes mr . president .,why ?
912,why ?,because it is my duty .
913,air force one please reduce speed to knots .,roger .
914,that s affirmative .,ga get it .
915,the rest of the secret service ?,dead .
916,dead .,how many others killed ?
917,how many others killed ?,nine .
918,nine .,any of us ?
919,remarkable aircraft . remarkable .,why did they do that ?
920,why did they do that ?,psychology . they re trying to unnerve us .
921,psychology . they re trying to unnerve us .,well it worked .
922,stand by .,romeo tango zulu this is tower .
923,a dubious distinction no ?,i guess it depends on your perspective .
924,please tell me your name .,maria . . . maria mitchell .
925,you re pointing a gun at me .,very good . thank you ms . mitchell .
926,now or he dies please .,come on alice .
927,what do you know of my husband ?,i know he left you behind .
928,i know he left you behind .,my husband is a very courageous man .
929,do you have to be so brutal ?,yes
930,yes,why ? do you enjoy it ?
931,no .,say something dear .
932,four . . .,jim . . .
933,jim . . .,three . . .
934,this administration does not negotiate with terrorists .,pity . mr . gibbs .
935,stop .,you ll do it ?
936,the taste of defeat is bitter no ?,one thing i ve learned as
937,i ll not going without my family .,yes sir .
938,sir we stay with the president .,that isn t necessary .
939,may i speak to you for a moment ?,can t it wait ?
940,can t it wait ?,no mr . president . it can t .
941,you know what ?,what ?
942,what ?,i miss you . and i miss her .
943,what are you doing ?,flying the plane .
944,the fax machines .,excuse me ?
945,excuse me ?,the fax machines .
946,where are we sending it ?,white house situation room .
947,someone should give you a raise .,actually sir you could be that someone .
948,what s going on ?,we re under attack .
949,we re under attack .,where s my family ?
950,where s my family ?,we re handling it sir .
951,one .,but . . .
952,but . . .,two . . . three . go !
953,who can i say is calling ?,this is the president .
954,this is the president .,yeah right .
955,you give me ulcers .,that s my job .
956,shepherd .,sir . . .
957,iraq sir . we re over iraq .,iraq ? shep you re fired .
